
Antidote Elixir;1 Pure Powder Reagent;1 Weeds;2 Blood 2;3 Olive Oil
Armor Draught;30 Elixir of Will;30 Elixir of Life;30 Elixir of Armor;10 Tears of the Falling Moon;1 Ibellab's Essence
Beast's Draught;3 Grim Reaper's Elixir;3 EXP Elixir;3 Elixir of Will;1 Tears of the Falling Moon
Blood 1;1 BLOOD Wolf, Flamingo, Rhino, Cheetah
Blood 2;1 BLOOD Deer, Sheep, Goat, Cow, Pig, Ox, Waragon
Blood 3;1 BLOOD Weasel, Fox, Racoon
Blood 4;1 BLOOD Bear, Troll, Ogre
Blood 5;1 BLOOD Worm, Lizard, Bat, Kuku
Broken Alchemy Stone;10 Shining Powder;3 Sinner's Blood;5 Powder of Time;10 Pure Powder Reagent;10 Clear Liquid Reagent
Celerity Draught;36 Elixir of Training;36 Elixir of Time;36 Elixir of Wings;10 Tears of the Falling Moon
Clear Liquid Reagent;1 Salt;1 Sunrise Herb;1 Weeds;1 Purified Water
Clown's Blood;1 Spirit's Leaf;1 Powder of Darkness;1 Clear Liquid Reagent;2 Blood 1
Corrupt Oil of Immortality;1 Turo Heart;1 Remnants of Burnt Spirits;20 Oil of Regeneration;20 Oil of Fortitude;20 Oil of Corruption
Defense Elixir;1 Clear Liquid Reagent;6 Ash Sap;5 Blood 2;3 Purified Water
EXP Elixir;1 Clown's Blood;7 Dry Mane Grass;5 Pine Sap;2 Powder of Flame
Elixir of Amity;1 Legendary Beast's Blood;5 Fire Flake Flower;6 Ash Sap;3 Black Stone Powder
Elixir of Armor;3 Oil of Fortitude;3 Refined Delotia Reagent;5 Thornwood Sap;1 Thick Turo Blood
Elixir of Assassination;1 Oil of Regeneration;5 Pure Powder Reagent;4 Amanita Mushroom;2 Red Tree Lump;2 Trace of Memory
Elixir of Burn Removal;1 Clear Liquid Reagent;1 Purified Water;2 Fruit;2 Weeds
Elixir of Carnage;1 Oil of Corruption;7 Pure Powder Reagent;6 Tiger Mushroom;3 Spirit's Leaf;3 Trace of the Earth
Elixir of Concentration;1 Clear Liquid Reagent;3 Cloud Mushroom;2 Wild Grass;3 Blood 4
Elixir of Death;1 Oil of Tranquility;6 Clear Liquid Reagent;2 Ancient Mushroom;7 Ash Sap;2 Trace of Death
Elixir of Deep Sea;1 Oil of the Abyss;2 Coral Crystal;5 Clear Liquid Reagent;5 Arrow Mushroom;6 White Cedar Sap
Elixir of Demihuman Hunt;1 Sinner's Blood;4 Arrow Mushroom;4 Fir Sap;3 Black Stone Powder
Elixir of Detection;1 Oil of Storms;6 Pure Powder Reagent;3 Truffle Mushroom;2 Old Tree Bark;3 Trace of Savagery
Elixir of Draining;1 Oil of Fortitude;4 Clear Liquid Reagent;3 Hump Mushroom;4 Birch Sap;2 Trace of Forest
Elixir of Endurance;1 Pure Powder Reagent;2 Dwarf Mushroom;5 Birch Sap;4 Blood 4
Elixir of Energy;1 Pure Powder Reagent;4 Blood 3;3 Purified Water;2 MP Potion (Small)
Elixir of Fond Memories;1 Incomplete First Element;1 Arenda's Special Base;1 Oil of Regeneration;2 Trace of Memory
Elixir of Frenzy;1 Oil of Regeneration;5 Clear Liquid Reagent;5 Cedar Sap;3 Trace of Battle;2 Ghost Mushroom
Elixir of Fury;4 Dwarf Mushroom;1 Ash Sap;4 Blood 4;3 Purified Water
Elixir of Hemostasis;1 Pure Powder Reagent;1 Cloud Mushroom;1 Ash Sap;3 Purified Water
Elixir of Human Hunt;1 Clown's Blood;5 Fortune Teller Mushroom;5 Maple Sap;3 Black Stone Powder
Elixir of Labor;2 Sinner's Blood;2 Refined Delotia Reagent;2 Powder of Time;4 Thornwood Sap
Elixir of Life;1 Pure Powder Reagent;3 Silver Azalea;5 Blood 3;3 HP Potion (Small)
Elixir of Mastery;2 Oil of Tranquility;3 Refined Delotia Reagent;5 Thornwood Sap;5 Everlasting Herb;2 Trace of Forest
Elixir of Mentality;1 Clear Liquid Reagent;5 Ash Sap;3 Purified Water;2 MP Potion (Small)
Elixir of Perforation;1 Oil of Corruption;4 Clear Liquid Reagent;5 Bluffer Mushroom;5 Pine Sap;2 Trace of Violence
Elixir of Resistance;3 Cloud Mushroom;1 Birch Sap;7 Blood 1;3 Purified Water
Elixir of Seal;3 Dwarf Mushroom;1 Birch Sap;4 Blood 1;5 Purified Water
Elixir of Shock;1 Clown's Blood;5 Tiger Mushroom;7 Cedar Sap;3 Powder of Time
Elixir of Skill;2 Wise Man's Blood;5 Delotia;2 Powder of Time;5 Thornwood Sap;2 Trace of Chaos
Elixir of Sky;1 Oil of Tranquility;6 Pure Powder Reagent;5 Emperor Mushroom;2 Bloody Tree Knot;4 Trace of Ascension
Elixir of Spells;1 Tyrant's Blood;5 Fire Flake Flower;3 Maple Sap;2 Powder of Darkness
Elixir of Swiftness;1 Legendary Beast's Blood;5 Arrow Mushroom;5 Birch Sap;2 Powder of Darkness
Elixir of Time;1 Wise Man's Blood;6 Fire Flake Flower;5 Maple Sap;2 Powder of Time
Elixir of Training;1 Legendary Beast's Blood;7 Silver Azalea;4 Pine Sap;2 Powder of Crevice
Elixir of Will;1 Pure Powder Reagent;4 Sunrise Herb;6 Blood 1;3 Purified Water
Elixir of Wind;1 Wise Man's Blood;5 Fortune Teller Mushroom;5 Pine Sap;2 Powder of Darkness
Elixir of Wings;2 Silver Azalea;1 Ash Sap;4 Blood 4;5 Purified Water
Essence of Abundance;2 Fruit of Abundance;6 Cloud Mushroom;6 Birch Sap;2 Trace of Ascension
Essence of Crimson Flame;2 Fruit of Crimson Flame;6 Dwarf Mushroom;6 Ash Sap;2 Trace of Ascension
Essence of Destruction;2 Fruit of Destruction;6 Silver Azalea;6 Pine Sap;2 Powder of Flame
Essence of Enchantment;2 Fruit of Enchantment;3 Fire Flake Flower;4 Ash Sap;2 Powder of Darkness
Essence of Magic Power;2 Fruit of Magic Power;6 Dry Mane Grass;6 Birch Sap;2 Powder of Darkness
Essence of Nature;2 Fruit of Nature;6 Fortune Teller Mushroom;6 Maple Sap;2 Trace of the Earth
Essence of Perfection;2 Fruit of Perfection;6 Sunrise Herb;6 Maple Sap;2 Powder of Flame
Essence of the Sun;2 Fruit of the Sun;6 Arrow Mushroom;6 Pine Sap;2 Trace of the Earth
Fisher's Elixir;1 Wise Man's Blood;6 Sunrise Herb;3 Fir Sap;2 Powder of Flame
Flawless Spirit Stone;10 Oil of Tranquility;4 Tenacious Origin of Life;4 Rough Opulent Crystal
Frenzy Draught;3 Elixir of Frenzy;3 Elixir of Demihuman Hunt;1 Tears of the Falling Moon;1 Abyssal Essence
Gem Polisher;2 Trace of Origin;1 Pure Powder Reagent;4 Processed Coal;6 Purified Water
Giant's Draught;3 Elixir of Fury;3 Elixir of Shock;3 Elixir of Perforation;1 Tears of the Falling Moon
Golden Hand Elixir;1 Oil of Storms;4 Clear Liquid Reagent;4 Fog Mushroom;3 Trace of Hunting;6 Fir Sap
Griffon's Elixir;1 Griffon Claw;6 Cedar Sap;3 Trace of Battle;3 Purified Water;2 Sinner's Blood
Grim Reaper's Elixir;1 Oil of Fortitude;4 Pure Powder Reagent;2 Sky Mushroom;2 Monk's Branch;4 Trace of Origin
Helix Elixir;6 Thuja Sap;3 Monk's Branch;2 Clown's Blood;2 Powder of Flame;3 Purified Water
Herbal Gunpowder;1 Insectivore Plant Powder;1 Powder of Darkness
Herbal Poison;1 Insectivore Plant Sap;5 Amanita Mushroom
Immortal Giant's Draught;1 Giant's Draught;1 Corrupt Oil of Immortality
Khalk's Elixir;1 Fugitive Khalk's Skin;10 White Cedar Sap;5 Trace of Chaos;4 Purified Water;2 Oil of Corruption
Leather Glaze;3 Maple Sap;2 Powder of Darkness;3 Trace of Ascension;1 Clear Liquid Reagent
Legendary Beast's Blood;1 Spirit's Leaf;1 Trace of the Earth;1 Pure Powder Reagent;2 Blood 5
Looney Elixir;4 Moss Tree Sap;2 Volcanic Umbrella Mushroom;3 Powder of Flame;5 Red Tree Lump;1 Violet Flower
Marking Reagent;1 Sinner's Blood;1 Magic Crystal - Vision;1 Herbal Gunpowder;1 Sticky Liquid;5 Black Stone Powder
Metal Solvent;3 Melted Iron Shard;2 Trace Of Savagery;1 Clear Liquid Reagent;4 Rough Stone
Oil of Corruption;1 Sinner's Blood;1 Spirit's Leaf;1 Fruit of the Sun;1 Powder of Darkness
Oil of Enchantment;1 Fruit of Enchantment;1 Refined Delotia Reagent;2 Purified Water;2 Everlasting Herb;2 Thick Turo Blood
